--- D1 Data ---
Feature1	Feature2	Label
6.862615	7.182484	1.000000
6.633926	6.658659	1.000000
6.626734	7.098378	1.000000
7.322010	6.499435	1.000000
7.178982	8.190892	1.000000
7.535247	7.473966	1.000000
7.298175	7.130960	1.000000
6.627988	7.335552	1.000000
7.052270	6.802626	1.000000
6.705127	7.091294	1.000000
7.796232	8.867578	1.000000
7.935785	8.139827	1.000000
5.466058	6.066449	1.000000
5.735512	6.191755	1.000000
6.538541	7.936226	1.000000
3.604541	4.143510	1.000000
6.464761	6.705557	1.000000
6.632256	6.764231	1.000000
6.013602	5.771836	1.000000
5.711025	5.314637	1.000000
8.112033	7.928218	1.000000
6.858098	6.718941	1.000000
6.827089	6.621194	1.000000
7.533033	7.367491	1.000000
8.058197	7.642570	1.000000
7.885782	6.717314	1.000000
6.269613	4.979574	1.000000
7.070826	7.353690	1.000000
6.564895	7.284137	1.000000
6.873268	6.587027	1.000000
6.377137	6.996691	1.000000
5.708187	5.664504	1.000000
6.189392	6.298743	1.000000
8.618225	7.329071	1.000000
7.966920	7.274237	1.000000
8.956960	9.032518	1.000000
6.250827	6.550019	1.000000
8.457784	7.898298	1.000000
8.396901	8.185189	1.000000
7.407112	7.263875	1.000000
7.042357	7.790382	1.000000
6.910567	6.895828	1.000000
6.357262	7.485198	1.000000
6.784599	7.319736	1.000000
7.185921	7.942977	1.000000
7.191796	6.246725	1.000000
6.216162	5.522659	1.000000
7.432073	7.948333	1.000000
6.069425	6.276078	1.000000
6.817712	6.816708	1.000000
6.872557	6.755971	1.000000
6.956883	7.917677	1.000000
6.396215	7.447271	1.000000
5.017876	5.743003	1.000000
6.547385	6.057371	1.000000
7.615808	7.255286	1.000000
7.044325	7.623876	1.000000
7.602223	8.163497	1.000000
5.613409	6.101491	1.000000
6.735596	5.221189	1.000000
6.584656	6.992768	1.000000
6.497756	6.779981	1.000000
6.899905	6.877563	1.000000
6.479644	7.270181	1.000000
7.754171	7.672441	1.000000
6.109893	6.105067	1.000000
7.178285	6.587037	1.000000
7.429836	7.699810	1.000000
9.030499	8.506198	1.000000
6.536809	6.757198	1.000000
6.446538	6.912364	1.000000
8.844221	7.830187	1.000000
7.572820	6.812243	1.000000
8.471305	8.402479	1.000000
6.388605	6.807012	1.000000
7.016310	6.791191	1.000000
5.635018	5.447478	1.000000
7.440641	7.205131	1.000000
7.049534	6.997479	1.000000
6.859997	6.485687	1.000000
6.222646	6.845609	1.000000
6.250666	6.388410	1.000000
6.497477	7.722904	1.000000
6.122950	7.310052	1.000000
5.609320	4.613433	1.000000
5.742407	6.057906	1.000000
7.195666	7.821518	1.000000
5.934864	6.354919	1.000000
5.954862	6.120604	1.000000
--- End of D1 Data ---

--- D2 Data ---
Feature1	Feature2	Label
0.155496	0.309417	0.000000
-0.706110	-0.122922	0.000000
1.914559	-0.133163	0.000000
1.031048	0.123813	0.000000
0.005167	1.078090	0.000000
0.384739	-1.048603	0.000000
-0.556727	0.134795	0.000000
0.004193	-0.009878	0.000000
1.339554	0.298938	0.000000
-0.050540	-0.056342	0.000000
-0.687418	0.981218	0.000000
0.114787	0.877041	0.000000
-0.600243	0.718295	0.000000
0.159568	-0.098372	0.000000
-0.860352	0.598231	0.000000
0.402734	0.064494	0.000000
-0.365671	-0.121099	0.000000
-0.456006	-0.173144	0.000000
-0.174881	0.770615	0.000000
0.505989	-0.276723	0.000000
0.291012	0.878779	0.000000
-0.679869	-1.317387	0.000000
-1.207555	-0.039577	0.000000
0.357452	0.484986	0.000000
-0.119000	1.423920	0.000000
0.508503	0.464321	0.000000
-0.076773	-0.584415	0.000000
1.629501	-0.611392	0.000000
0.323033	0.998516	0.000000
-0.049321	-0.452745	0.000000
1.403738	-0.226886	0.000000
-0.870351	-0.806748	0.000000
-1.360791	-0.322498	0.000000
1.084082	-0.640359	0.000000
-0.294294	0.213508	0.000000
-0.722108	0.222455	0.000000
-0.118703	1.626882	0.000000
-0.595389	0.237429	0.000000
0.739232	-0.025480	0.000000
-0.158749	0.639016	0.000000
-0.313967	0.498318	0.000000
1.148939	0.322700	0.000000
-1.086941	-0.220501	0.000000
0.631125	0.787041	0.000000
0.397873	0.894969	0.000000
-0.566277	-0.356446	0.000000
1.289682	0.226690	0.000000
1.347053	0.868235	0.000000
0.803771	1.103249	0.000000
0.044094	0.594421	0.000000
-1.159461	0.294908	0.000000
-0.900932	0.559805	0.000000
0.812494	0.214433	0.000000
-0.164203	-0.348114	0.000000
0.112594	0.718902	0.000000
-0.805441	-0.646281	0.000000
0.223918	0.731530	0.000000
-0.258170	0.484032	0.000000
0.204243	0.893077	0.000000
0.056224	0.839791	0.000000
0.534017	-0.028243	0.000000
-1.262529	-0.086550	0.000000
1.091864	0.721055	0.000000
-0.557439	-1.051109	0.000000
0.293252	0.202720	0.000000
-1.276385	-0.992563	0.000000
0.796601	-1.255761	0.000000
-0.284981	0.010799	0.000000
0.888393	-0.054042	0.000000
-0.838998	1.352138	0.000000
1.271804	-0.884333	0.000000
-0.154636	-0.066736	0.000000
-0.645846	-0.294481	0.000000
0.161402	-0.575903	0.000000
-0.676529	-0.425998	0.000000
0.434034	0.930337	0.000000
-1.435487	-0.805644	0.000000
-0.508788	-1.016471	0.000000
1.134822	0.203560	0.000000
0.368290	-0.424387	0.000000
-0.826425	-1.097106	0.000000
1.063295	-0.396921	0.000000
0.465494	0.773499	0.000000
-1.175240	0.457009	0.000000
0.545481	0.616523	0.000000
-0.208476	0.210793	0.000000
0.382904	0.229829	0.000000
1.480530	-0.821336	0.000000
0.582199	-0.985585	0.000000
-0.343549	-1.073788	0.000000
1.642580	-1.632460	0.000000
0.606481	-0.006527	0.000000
0.873718	-0.152260	0.000000
0.721882	-0.298555	0.000000
0.437497	0.320622	0.000000
-0.768757	0.830385	0.000000
-0.768132	0.506108	0.000000
0.996386	0.663030	0.000000
0.196039	0.146353	0.000000
1.179504	-0.550639	0.000000
0.361818	-3.560644	1.000000
-0.964969	-2.793334	1.000000
1.243175	-2.478717	1.000000
1.452575	2.009344	1.000000
-1.821256	2.318934	1.000000
-2.714400	1.135568	1.000000
-3.672378	-0.641871	1.000000
-1.008015	-2.476171	1.000000
2.786664	-1.998515	1.000000
-3.636136	-1.163362	1.000000
2.743487	0.648101	1.000000
1.545215	1.319984	1.000000
2.478233	-1.344091	1.000000
1.285890	-3.591057	1.000000
-1.620696	2.485126	1.000000
-0.034306	3.146877	1.000000
-3.268784	-1.673493	1.000000
-0.491639	-3.057830	1.000000
-1.870964	-0.298193	1.000000
-2.245849	-3.055507	1.000000
-2.462227	-0.108375	1.000000
-0.694260	-3.280285	1.000000
1.537106	2.953328	1.000000
1.944231	-2.565189	1.000000
-2.241736	0.355386	1.000000
3.371101	-0.974072	1.000000
-0.750309	2.774453	1.000000
0.054307	1.686124	1.000000
0.365015	2.615213	1.000000
-0.577220	-2.527460	1.000000
2.119250	2.424410	1.000000
-1.835788	1.281143	1.000000
1.850271	1.030797	1.000000
1.663109	-2.711159	1.000000
0.262571	3.731819	1.000000
2.524746	-2.017061	1.000000
-2.542758	-0.909336	1.000000
1.031258	-2.648050	1.000000
0.048305	2.945117	1.000000
-0.652769	-2.981784	1.000000
-2.471961	2.486373	1.000000
-2.536484	-0.638291	1.000000
-3.629247	-0.732401	1.000000
3.130661	-2.365494	1.000000
-1.720663	2.630674	1.000000
-3.502311	-2.303638	1.000000
-0.381639	3.208670	1.000000
-3.185114	0.331396	1.000000
4.070833	-0.328972	1.000000
2.586828	0.771362	1.000000
3.050669	2.687917	1.000000
-0.411046	2.607138	1.000000
-1.605241	2.764501	1.000000
-2.828651	2.141653	1.000000
1.040945	-2.787143	1.000000
0.054731	-3.050796	1.000000
2.449487	-0.613011	1.000000
1.356143	2.859615	1.000000
2.814653	-2.233229	1.000000
-2.769006	1.561927	1.000000
3.692560	-0.304831	1.000000
2.611875	1.602091	1.000000
1.519075	-3.105356	1.000000
3.059746	0.032940	1.000000
3.871361	-0.913385	1.000000
1.532658	-2.404596	1.000000
2.614271	1.879368	1.000000
0.854286	-3.482065	1.000000
0.902219	-2.153802	1.000000
-2.922265	2.436812	1.000000
-1.147116	-3.197697	1.000000
2.752218	1.729148	1.000000
3.064062	1.301476	1.000000
-3.401112	0.649617	1.000000
0.693425	2.855299	1.000000
-2.444618	-2.183341	1.000000
-1.921157	1.670882	1.000000
-2.902527	-0.279632	1.000000
-2.157694	2.557040	1.000000
0.729057	2.803427	1.000000
2.865103	-2.194803	1.000000
-2.421196	-1.093495	1.000000
-2.683516	-0.295348	1.000000
2.710118	1.332310	1.000000
2.505057	0.972452	1.000000
1.604235	3.489176	1.000000
-1.940924	-3.166905	1.000000
1.736706	0.953630	1.000000
-2.376731	-2.376431	1.000000
-2.677203	-1.272392	1.000000
0.617932	-2.990617	1.000000
2.663637	-0.394006	1.000000
-0.147815	-3.304965	1.000000
0.023608	-3.111239	1.000000
2.812549	-2.004257	1.000000
2.618861	-0.199292	1.000000
-1.971601	-1.338809	1.000000
1.440824	2.417369	1.000000
-1.430882	1.822333	1.000000
2.360030	1.281283	1.000000
--- End of D2 Data ---

--- T1 Data ---
Feature1	Feature2	Label
1.767361	1.553022	0.000000
1.550906	2.448100	0.000000
1.729717	2.179342	0.000000
2.781519	2.519280	0.000000
4.138977	3.657932	0.000000
1.721860	2.190317	0.000000
3.605251	2.210101	0.000000
2.916539	1.988809	0.000000
0.783463	1.001310	0.000000
1.966950	1.368504	0.000000
6.735596	5.221189	1.000000
6.862615	7.182484	1.000000
6.396215	7.447271	1.000000
7.432073	7.948333	1.000000
7.429836	7.699810	1.000000
6.698255	6.508910	1.000000
6.827089	6.621194	1.000000
6.626734	7.098378	1.000000
7.051376	7.324878	1.000000
9.030499	8.506198	1.000000
--- End of T1 Data ---

--- T2 Data ---
Feature1	Feature2	Label
-0.258170	0.484032	0.000000
0.291012	0.878779	0.000000
-1.175240	0.457009	0.000000
-0.174881	0.770615	0.000000
-1.262529	-0.086550	0.000000
0.582199	-0.985585	0.000000
0.004193	-0.009878	0.000000
0.796601	-1.255761	0.000000
-0.284981	0.010799	0.000000
0.161402	-0.575903	0.000000
-1.147116	-3.197697	1.000000
1.545215	1.319984	1.000000
3.059746	0.032940	1.000000
2.814653	-2.233229	1.000000
-2.157694	2.557040	1.000000
1.243175	-2.478717	1.000000
1.663109	-2.711159	1.000000
1.285890	-3.591057	1.000000
-2.714400	1.135568	1.000000
0.729057	2.803427	1.000000
--- End of T2 Data ---

